[Header]
TITLE,MPMS AC Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1461029692.015000 4/18/2016, 6:34:52 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, ErCOTTHF4BPh4
INFO, WEIGHT, 15.800
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 51.2 mg eicosane in quartz tube
INFO, SEQUENCE FILE: ac2K_20K_1-1500Hz.seq

STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y2,7,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,m' and m"
FIELDGROUP,m' and m",1,2,3,4,14,15,5,6,7,8,13,26,27,28
FIELDGROUP,Amplitude and Phase,1,2,3,4,14,15,9,10,11,12,13,26,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),m' (emu),m' Scan Std Dev,m" (emu),m" Scan Std Dev,Amplitude (emu),Amplitude Scan Std Dev,Phase (deg),Phase Scan Std Dev,Regression Fit,Drive Amplitude (Oe),Wave Frequency (Hz),Steps per Cycle,Blocks to Average,Scans per Measurement,Clock Frequency,Amplifier Gain,AC Filter,Two Point Measurement,Scan Length,Settling Time (sec),Delta Temp (K),Rot Position (Oe),Error,% Clipped,,
1461029692.015,,1.750000e+003,5.000236e+000,1.075324e-004,1.521903e-008,5.748862e-005,1.848296e-008,1.219351e-004,1.904213e-008,2.812970e+001,6.819932e-003,9.997289e-001,4.000000e+000,1.000576e+000,732,10,4,2,0,3,1,4.000000e+000,0,1.674175e-003,0.000000e+000,0,0.000000e+000,,
1461030074.361,,1.750000e+003,4.999969e+000,9.168674e-005,2.983915e-008,6.224833e-005,3.730247e-009,1.108211e-004,2.618793e-008,3.417353e+001,7.642132e-003,9.996925e-001,4.000000e+000,1.338980e+000,547,10,4,2,0,3,1,4.000000e+000,0,1.675129e-003,0.000000e+000,0,0.000000e+000,,
1461030382.775,,1.750000e+003,5.000065e+000,7.445244e-005,2.533735e-008,6.317299e-005,1.346548e-008,9.764217e-005,2.471087e-008,4.031464e+001,8.560565e-003,9.995466e-001,4.000000e+000,1.794877e+000,6529,5,4,3,0,2,1,4.000000e+000,0,1.674175e-003,0.000000e+000,0,0.000000e+000,,
1461030719.969,,1.750000e+003,5.000484e+000,5.795922e-005,2.662614e-008,6.017888e-005,1.758905e-008,8.355099e-005,1.865813e-008,4.607639e+001,1.775496e-002,9.994252e-001,4.000000e+000,2.403846e+000,4875,6,4,3,0,2,1,4.000000e+000,0,1.826763e-003,0.000000e+000,0,0.000000e+000,,
1461031388.814,,1.750000e+003,4.999932e+000,4.565755e-005,2.256699e-006,5.661997e-005,5.106114e-006,7.273536e-005,4.893190e-006,5.111778e+001,2.075187e+000,9.547988e-001,4.000000e+000,3.219437e+000,3640,9,4,3,0,2,1,4.000000e+000,0,1.369953e-003,0.000000e+000,0,0.000000e+000,,
1461031953.787,,1.750000e+003,4.999836e+000,3.271442e-005,7.167616e-007,4.729611e-005,1.640607e-006,5.750787e-005,1.744181e-006,5.532864e+001,3.985974e-001,9.974744e-001,4.000000e+000,4.313121e+000,2717,10,4,3,0,2,1,4.000000e+000,0,1.675129e-003,0.000000e+000,0,0.000000e+000,,
1461032205.131,,1.750000e+003,4.999533e+000,2.431926e-005,2.227266e-008,3.839816e-005,2.238631e-008,4.545156e-005,3.044455e-008,5.765211e+001,1.057417e-002,9.980177e-001,4.000000e+000,5.775629e+000,2029,10,4,3,0,2,1,4.000000e+000,0,4.564285e-003,0.000000e+000,0,0.000000e+000,,
1461032359.126,,1.750000e+003,4.998829e+000,1.870592e-005,1.893591e-008,3.098731e-005,2.894245e-008,3.619564e-005,3.386897e-008,5.888214e+001,1.109577e-002,9.969601e-001,4.000000e+000,7.735148e+000,1515,10,4,3,0,2,1,4.000000e+000,0,4.411221e-003,0.000000e+000,0,0.000000e+000,,
1461032530.298,,1.750000e+003,4.998924e+000,1.490393e-005,2.362303e-008,2.459334e-005,2.882433e-008,2.875691e-005,3.607892e-008,5.878351e+001,1.861305e-002,9.963549e-001,4.000000e+000,1.036141e+001,1131,10,4,3,0,2,1,4.000000e+000,0,3.802776e-003,0.000000e+000,0,0.000000e+000,,
1461032792.801,,1.750000e+003,4.999190e+000,1.236297e-005,8.486719e-009,1.931840e-005,8.147644e-009,2.293564e-005,1.068645e-008,5.738246e+001,1.229169e-002,9.922062e-001,4.000000e+000,1.388478e+001,844,10,4,3,1,2,1,4.000000e+000,0,4.715919e-003,0.000000e+000,0,0.000000e+000,,
1461032992.204,,1.750000e+003,4.998163e+000,1.067531e-005,1.139337e-008,1.510128e-005,1.239885e-008,1.849354e-005,1.245248e-008,5.474296e+001,3.511832e-002,9.859149e-001,4.000000e+000,1.860119e+001,630,10,4,3,1,2,1,4.000000e+000,0,1.215935e-003,0.000000e+000,0,0.000000e+000,,
1461033397.282,,1.750000e+003,4.999799e+000,9.489880e-006,3.842418e-008,1.182946e-005,1.753455e-008,1.516555e-005,1.765398e-008,5.126256e+001,1.448993e-001,8.643424e-001,4.000000e+000,2.489379e+001,7532,8,4,4,1,1,1,4.000000e+000,0,2.738953e-003,0.000000e+000,0,0.000000e+000,,
1461033615.435,,1.750000e+003,4.999875e+000,8.679321e-006,2.521734e-008,9.232726e-006,5.726855e-009,1.267177e-005,1.600222e-008,4.676963e+001,9.185028e-002,8.317780e-001,4.000000e+000,3.333926e+001,5624,10,4,4,1,1,1,4.000000e+000,0,2.283096e-003,0.000000e+000,0,0.000000e+000,,
1461033802.677,,1.750000e+003,4.999760e+000,8.098443e-006,1.670359e-008,7.223457e-006,1.578749e-008,1.085187e-005,7.098702e-009,4.173157e+001,1.153935e-001,7.776417e-001,4.000000e+000,4.466413e+001,4198,10,4,4,1,1,1,4.000000e+000,0,2.130985e-003,0.000000e+000,0,0.000000e+000,,
1461033970.521,,1.750000e+003,4.999418e+000,7.703253e-006,3.985502e-008,5.627095e-006,7.035582e-008,9.539617e-006,6.172689e-008,3.614749e+001,3.134386e-001,8.602978e-001,4.000000e+000,5.982770e+001,3134,10,4,4,1,1,1,4.000000e+000,0,2.283096e-003,0.000000e+000,0,0.000000e+000,,
1461034125.133,,1.750000e+003,4.998999e+000,7.332852e-006,3.340655e-008,4.422909e-006,3.002454e-008,8.563459e-006,4.377110e-008,3.109685e+001,6.753440e-002,8.704298e-001,4.000000e+000,8.012820e+001,2340,10,4,4,1,1,1,4.000000e+000,0,2.130032e-003,0.000000e+000,0,0.000000e+000,,
1461034264.534,,1.750000e+003,4.997859e+000,7.165789e-006,4.957185e-008,3.494891e-006,6.064143e-008,7.972628e-006,1.845570e-008,2.599937e+001,5.470025e-001,8.039574e-001,4.000000e+000,1.072654e+002,1748,10,4,4,1,1,1,4.000000e+000,0,1.976013e-003,0.000000e+000,0,0.000000e+000,,
1461034395.007,,1.750000e+003,4.999075e+000,6.834745e-006,2.782352e-008,2.738183e-006,6.264309e-008,7.362838e-006,4.323304e-008,2.183237e+001,4.137749e-001,7.417576e-001,4.000000e+000,1.437883e+002,1304,10,4,4,1,0,1,4.000000e+000,0,2.891064e-003,0.000000e+000,0,0.000000e+000,,
1461034509.278,,1.750000e+003,4.998999e+000,6.728698e-006,2.179892e-008,2.137378e-006,2.666684e-008,7.060012e-006,2.154024e-008,1.762251e+001,2.179334e-001,6.773286e-001,4.000000e+000,1.925051e+002,974,10,4,4,1,0,1,4.000000e+000,0,1.522064e-003,0.000000e+000,0,0.000000e+000,,
